클래스,인스턴스수
http://lod.nl.go.kr/ontology/OnlineMaterial,21810815
http://lod.nl.go.kr/ontology/ElectronicJournal,16901548
http://lod.nl.go.kr/ontology/OfflineMaterial,7144183
http://lod.nl.go.kr/ontology/Book,6845116
http://purl.org/ontology/bibo/Book,3588544
http://lod.nl.go.kr/ontology/ElectronicBook,2895364
http://purl.org/ontology/bibo/Thesis,1869680
http://lod.nl.go.kr/ontology/Author,1618009
http://purl.org/ontology/bibo/Article,1200240
http://purl.org/ontology/bibo/Website,698310
http://lod.nl.go.kr/ontology/Sound,626033
http://lod.nl.go.kr/ontology/Concept,515412
http://xmlns.com/foaf/0.1/Person,314214
http://lod.nl.go.kr/ontology/NonBook,299070
http://purl.org/ontology/bibo/Image,246414
http://lod.nl.go.kr/ontology/VideoDocument,227144
http://lod.nl.go.kr/ontology/DigitalizedScore,104007
http://lod.nl.go.kr/ontology/Score,103492
http://lod.nl.go.kr/ontology/OldBook,101452
http://purl.org/ontology/bibo/AudioDocument,91992
http://purl.org/ontology/bibo/Periodical,85200
http://purl.org/ontology/bibo/AudioVisualDocument,71662
http://xmlns.com/foaf/0.1/Organization,34179
http://lod.nl.go.kr/ontology/Library,28108
http://lod.nl.go.kr/ontology/ElectronicDocument,21143
http://lod.nl.go.kr/ontology/AlternativeMaterial,15765
http://lod.nl.go.kr/ontology/Map,10677
http://lod.nl.go.kr/ontology/DigitalizedMap,3382
http://lod.nl.go.kr/ontology/Software,17
http://lod.nl.go.kr/ontology/ComplexDocument,3
http://www.w3.org/ns/org#Organization,1
