클래스,전체인스턴스수,위반노드수,적합노드수,적합률(%)
http://lod.nl.go.kr/ontology/OnlineMaterial,21810815,90663,21720152,99.58
http://lod.nl.go.kr/ontology/ElectronicJournal,16901548,332,16901216,100.00
http://lod.nl.go.kr/ontology/OfflineMaterial,7144183,634,7143549,99.99
http://lod.nl.go.kr/ontology/Book,6845116,632,6844484,99.99
http://purl.org/ontology/bibo/Book,3588544,236,3588308,99.99
http://lod.nl.go.kr/ontology/ElectronicBook,2895364,79487,2815877,97.25
http://purl.org/ontology/bibo/Thesis,1869680,154,1869526,99.99
http://lod.nl.go.kr/ontology/Author,1618009,0,1618009,100.00
http://purl.org/ontology/bibo/Article,1200240,7,1200233,100.00
http://purl.org/ontology/bibo/Website,698310,10579,687731,98.49
http://lod.nl.go.kr/ontology/Sound,626033,30,626003,100.00
http://lod.nl.go.kr/ontology/Concept,515412,8,515404,100.00
http://lod.nl.go.kr/ontology/NonBook,299070,2,299068,100.00
http://purl.org/ontology/bibo/Image,246414,195,246219,99.92
http://lod.nl.go.kr/ontology/VideoDocument,227144,0,227144,100.00
http://lod.nl.go.kr/ontology/DigitalizedScore,104007,2,104005,100.00
http://lod.nl.go.kr/ontology/Score,103492,0,103492,100.00
http://lod.nl.go.kr/ontology/OldBook,101452,0,101452,100.00
http://purl.org/ontology/bibo/AudioDocument,91992,2,91990,100.00
http://purl.org/ontology/bibo/Periodical,85200,235,84965,99.72
http://purl.org/ontology/bibo/AudioVisualDocument,71662,0,71662,100.00
http://lod.nl.go.kr/ontology/Library,28108,0,28108,100.00
http://lod.nl.go.kr/ontology/ElectronicDocument,21143,0,21143,100.00
http://lod.nl.go.kr/ontology/AlternativeMaterial,15765,0,15765,100.00
http://lod.nl.go.kr/ontology/Map,10677,0,10677,100.00
http://lod.nl.go.kr/ontology/DigitalizedMap,3382,1,3381,99.97
http://lod.nl.go.kr/ontology/Software,17,1,16,94.12
http://lod.nl.go.kr/ontology/ComplexDocument,3,0,3,100.00
