형상,인스턴스수,연역속성수,귀납속성수,일치속성수,속성일치율(%),카디널리티일치율(%),미예상속성수,미예상속성비율(%),미예상속성목록
nlon:OnlineMaterial,21810815,1,36,0,0.0,0.0,36,100.0,"bibframe:extent, dc:creator, dc:format, dc:publisher, dcterms:abstract, dcterms:accessRights, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:hasFormat, dcterms:identifier, dcterms:isPartOf, dcterms:issued, dcterms:subject, dcterms:title, nlon:antecedentSource, nlon:audienceNote, nlon:datePublished, nlon:genre, nlon:holdingInstitution, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:languageNote, nlon:medium, nlon:newsPosition, nlon:otherNumber, nlon:publicationPlace, nlon:relatedParts, nlon:remainderOfTitle, nlon:reproductionNote, nlon:restriction, nlon:titleOfHostItem, nlon:typeOfResource, nlon:uci, rdfs:label"
nlon:OfflineMaterial,7144183,1,43,0,0.0,0.0,43,100.0,"bibframe:extent, bibframe:language, bibframe:place, bibo:abstract, bibo:degree, bibo:isbn, dc:creator, dc:publisher, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:isPartOf, dcterms:issued, dcterms:language, dcterms:subject, dcterms:title, nlon:bibliography, nlon:biographicalNote, nlon:classificationNumberOfNLK, nlon:containedIn, nlon:datePublished, nlon:ddc, nlon:ddcn, nlon:degreeYear, nlon:department, nlon:editionOfDDC, nlon:editionOfKDC, nlon:issuedYear, nlon:itemNumberOfNLK, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:languageNote, nlon:localHolding, nlon:publicationPlace, nlon:remainderOfTitle, nlon:titleOfSeries, nlon:typeOfData, nlon:volumeOfNLK, nlon:volumeOfSeries, owl:sameAs, rdfs:label, rdfs:seeAlso"
nlon:Book,6845116,5,43,2,40.0,50.0,41,95.35,"bibframe:extent, bibframe:language, bibframe:place, bibo:abstract, bibo:degree, bibo:isbn, dc:publisher, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:isPartOf, dcterms:issued, dcterms:language, dcterms:subject, dcterms:title, nlon:bibliography, nlon:biographicalNote, nlon:classificationNumberOfNLK, nlon:containedIn, nlon:datePublished, nlon:ddc, nlon:ddcn, nlon:degreeYear, nlon:department, nlon:editionOfDDC, nlon:editionOfKDC, nlon:issuedYear, nlon:itemNumberOfNLK, nlon:kdcn, nlon:keyword, nlon:languageNote, nlon:localHolding, nlon:publicationPlace, nlon:remainderOfTitle, nlon:titleOfSeries, nlon:typeOfData, nlon:volumeOfNLK, nlon:volumeOfSeries, owl:sameAs, rdfs:label, rdfs:seeAlso"
nlon:ElectronicBook,2895364,1,39,0,0.0,0.0,39,100.0,"bibframe:extent, bibo:degree, bibo:isbn, bibo:volume, dc:creator, dc:format, dc:publisher, dcterms:accessRights, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:hasFormat, dcterms:identifier, dcterms:issued, dcterms:subject, dcterms:tableOfContents, dcterms:title, nlon:antecedentSource, nlon:audienceNote, nlon:bibliography, nlon:datePublished, nlon:ddc, nlon:ddcn, nlon:genre, nlon:holdingInstitution, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:languageNote, nlon:medium, nlon:publicationPlace, nlon:remainderOfTitle, nlon:reproductionNote, nlon:restriction, nlon:titleOfSeries, nlon:typeOfResource, nlon:uci, nlon:uniformTitleOfSeries, rdfs:label"
nlon:ElectronicJournal,16901548,1,36,0,0.0,0.0,36,100.0,"bibframe:extent, dc:creator, dc:format, dc:publisher, dcterms:abstract, dcterms:accessRights, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:hasFormat, dcterms:identifier, dcterms:isPartOf, dcterms:issued, dcterms:title, nlon:antecedentSource, nlon:audienceNote, nlon:currentPublicationFrequency, nlon:datePublished, nlon:genre, nlon:holdingInstitution, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:languageNote, nlon:medium, nlon:newsPosition, nlon:otherNumber, nlon:publicationPlace, nlon:relatedParts, nlon:relatedPlace, nlon:reproductionNote, nlon:restriction, nlon:titleOfHostItem, nlon:typeOfResource, nlon:uci, rdfs:label"
nlon:NonBook,299070,1,34,0,0.0,0.0,34,100.0,"bibframe:extent, bibframe:language, bibframe:place, bibo:volume, dc:creator, dc:format, dc:publisher, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:identifier, dcterms:issued, dcterms:language, dcterms:requires, dcterms:subject, dcterms:tableOfContents, dcterms:title, nlon:audienceNote, nlon:classificationNumberOfNLK, nlon:datePublished, nlon:editionOfKDC, nlon:issuedYear, nlon:itemNumberOfNLK, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:languageNote, nlon:localHolding, nlon:medium, nlon:publicationPlace, nlon:remainderOfTitle, nlon:typeOfData, nlon:volumeOfNLK, rdfs:label"
nlon:OldBook,101452,1,26,0,0.0,0.0,26,100.0,"bibframe:extent, bibframe:language, bibframe:place, bibo:edition, bibo:volume, dc:creator, dc:publisher, dcterms:abstract, dcterms:alternative, dcterms:description, dcterms:issued, dcterms:subject, dcterms:title, nlon:classificationNumberOfNLK, nlon:datePublished, nlon:holdingItemNote, nlon:issuedYear, nlon:itemNumberOfNLK, nlon:keyword, nlon:localHolding, nlon:otherNumber, nlon:publicationPlace, nlon:sourceOfOtherNumber, nlon:typeOfData, nlon:volumeOfNLK, rdfs:label"
nlon:Sound,626033,1,31,0,0.0,0.0,31,100.0,"bibframe:extent, dc:creator, dc:format, dc:publisher, dcterms:abstract, dcterms:accessRights, dcterms:created, dcterms:creator, dcterms:description, dcterms:hasFormat, dcterms:identifier, dcterms:issued, dcterms:subject, dcterms:title, nlon:antecedentSource, nlon:audienceNote, nlon:datePublished, nlon:genre, nlon:holdingInstitution, nlon:kdc, nlon:kdcn, nlon:languageNote, nlon:medium, nlon:newsGenre, nlon:publicationPlace, nlon:relatedParts, nlon:remainderOfTitle, nlon:restriction, nlon:titleOfHostItem, nlon:typeOfResource, rdfs:label"
nlon:Score,103492,1,26,0,0.0,0.0,26,100.0,"bibframe:extent, bibframe:language, bibframe:place, dc:creator, dc:publisher, dcterms:alternative, dcterms:creator, dcterms:description, dcterms:issued, dcterms:title, nlon:classificationNumberOfNLK, nlon:datePublished, nlon:editionOfKDC, nlon:issuedYear, nlon:itemNumberOfNLK, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:linkingEntryComplexityNote, nlon:localHolding, nlon:medium, nlon:publicationPlace, nlon:titleOfAdditionalPhysicalForm, nlon:typeOfData, nlon:volumeOfNLK, rdfs:label"
nlon:DigitalizedScore,104007,1,19,0,0.0,0.0,19,100.0,"bibframe:extent, dc:creator, dc:publisher, dcterms:accessRights, dcterms:creator, dcterms:description, dcterms:hasFormat, dcterms:issued, dcterms:title, nlon:datePublished, nlon:genre, nlon:kdc, nlon:kdcn, nlon:keyword, nlon:medium, nlon:publicationPlace, nlon:typeOfResource, nlon:uci, rdfs:label"
