클래스,인스턴스수,속성,출현율(%),카디널리티
nlon:OnlineMaterial,21810815,nlon:datePublished,100.0,+
nlon:OnlineMaterial,21810815,rdfs:label,99.95,*
nlon:OnlineMaterial,21810815,nlon:genre,99.87,*
nlon:OnlineMaterial,21810815,dcterms:title,99.58,*
nlon:OnlineMaterial,21810815,dcterms:accessRights,99.55,*
nlon:OnlineMaterial,21810815,nlon:audienceNote,97.79,*
nlon:OnlineMaterial,21810815,dc:publisher,96.99,*
nlon:OnlineMaterial,21810815,nlon:typeOfResource,95.98,?
nlon:OnlineMaterial,21810815,nlon:medium,93.53,*
nlon:OnlineMaterial,21810815,nlon:antecedentSource,93.25,?
nlon:OnlineMaterial,21810815,dcterms:issued,93.12,*
nlon:OnlineMaterial,21810815,nlon:publicationPlace,90.26,*
nlon:OnlineMaterial,21810815,dc:format,88.31,*
nlon:OnlineMaterial,21810815,bibframe:extent,87.71,*
nlon:OnlineMaterial,21810815,nlon:holdingInstitution,82.05,?
nlon:OnlineMaterial,21810815,nlon:titleOfHostItem,77.8,*
nlon:OnlineMaterial,21810815,nlon:relatedParts,63.98,*
nlon:OnlineMaterial,21810815,nlon:newsPosition,60.11,*
nlon:OnlineMaterial,21810815,dcterms:description,59.33,*
nlon:OnlineMaterial,21810815,nlon:keyword,56.68,*
nlon:OnlineMaterial,21810815,nlon:uci,56.65,*
nlon:OnlineMaterial,21810815,dcterms:hasFormat,50.31,*
nlon:OnlineMaterial,21810815,nlon:reproductionNote,49.69,*
nlon:OnlineMaterial,21810815,nlon:otherNumber,43.16,?
nlon:OnlineMaterial,21810815,dc:creator,37.2,*
nlon:OnlineMaterial,21810815,nlon:kdc,30.32,*
nlon:OnlineMaterial,21810815,dcterms:identifier,28.23,*
nlon:OnlineMaterial,21810815,nlon:kdcn,21.39,*
nlon:OnlineMaterial,21810815,dcterms:creator,20.24,*
nlon:OnlineMaterial,21810815,dcterms:subject,18.54,*
nlon:OnlineMaterial,21810815,nlon:restriction,18.15,*
nlon:OnlineMaterial,21810815,dcterms:abstract,17.59,*
nlon:OnlineMaterial,21810815,dcterms:alternative,14.92,*
nlon:OnlineMaterial,21810815,nlon:languageNote,12.58,*
nlon:OnlineMaterial,21810815,dcterms:isPartOf,12.48,*
nlon:OnlineMaterial,21810815,nlon:remainderOfTitle,10.85,*
nlon:ElectronicJournal,16901548,nlon:datePublished,100.0,+
nlon:ElectronicJournal,16901548,nlon:genre,100.0,*
nlon:ElectronicJournal,16901548,nlon:typeOfResource,100.0,?
nlon:ElectronicJournal,16901548,dcterms:title,100.0,*
nlon:ElectronicJournal,16901548,rdfs:label,100.0,*
nlon:ElectronicJournal,16901548,dcterms:accessRights,99.99,*
nlon:ElectronicJournal,16901548,dc:publisher,99.82,*
nlon:ElectronicJournal,16901548,dcterms:issued,99.74,*
nlon:ElectronicJournal,16901548,nlon:audienceNote,99.73,*
nlon:ElectronicJournal,16901548,nlon:antecedentSource,98.87,?
nlon:ElectronicJournal,16901548,nlon:medium,98.76,?
nlon:ElectronicJournal,16901548,nlon:titleOfHostItem,98.4,*
nlon:ElectronicJournal,16901548,dc:format,92.6,*
nlon:ElectronicJournal,16901548,nlon:publicationPlace,90.53,*
nlon:ElectronicJournal,16901548,nlon:holdingInstitution,90.18,?
nlon:ElectronicJournal,16901548,bibframe:extent,89.23,*
nlon:ElectronicJournal,16901548,nlon:relatedParts,81.33,*
nlon:ElectronicJournal,16901548,nlon:newsPosition,77.54,*
nlon:ElectronicJournal,16901548,dcterms:description,65.8,*
nlon:ElectronicJournal,16901548,nlon:keyword,63.77,*
nlon:ElectronicJournal,16901548,nlon:reproductionNote,62.06,*
nlon:ElectronicJournal,16901548,nlon:uci,58.34,*
nlon:ElectronicJournal,16901548,dcterms:hasFormat,55.74,*
nlon:ElectronicJournal,16901548,nlon:otherNumber,54.51,?
nlon:ElectronicJournal,16901548,dc:creator,32.62,*
nlon:ElectronicJournal,16901548,dcterms:identifier,23.33,*
nlon:ElectronicJournal,16901548,nlon:kdc,22.45,*
nlon:ElectronicJournal,16901548,dcterms:abstract,17.64,*
nlon:ElectronicJournal,16901548,dcterms:isPartOf,16.02,*
nlon:ElectronicJournal,16901548,dcterms:alternative,13.22,*
nlon:ElectronicJournal,16901548,dcterms:creator,11.62,*
nlon:ElectronicJournal,16901548,nlon:relatedPlace,11.59,*
nlon:ElectronicJournal,16901548,nlon:kdcn,11.16,*
nlon:ElectronicJournal,16901548,nlon:currentPublicationFrequency,10.99,*
nlon:ElectronicJournal,16901548,nlon:languageNote,10.79,*
nlon:ElectronicJournal,16901548,nlon:restriction,10.44,*
nlon:OfflineMaterial,7144183,nlon:datePublished,100.0,+
nlon:OfflineMaterial,7144183,dcterms:title,100.0,*
nlon:OfflineMaterial,7144183,rdfs:label,100.0,*
nlon:OfflineMaterial,7144183,bibframe:extent,99.99,*
nlon:OfflineMaterial,7144183,nlon:classificationNumberOfNLK,99.98,*
nlon:OfflineMaterial,7144183,nlon:itemNumberOfNLK,99.98,*
nlon:OfflineMaterial,7144183,bibframe:language,99.63,*
nlon:OfflineMaterial,7144183,bibframe:place,99.63,*
nlon:OfflineMaterial,7144183,nlon:issuedYear,99.47,*
nlon:OfflineMaterial,7144183,dc:creator,85.04,*
nlon:OfflineMaterial,7144183,nlon:typeOfData,83.2,*
nlon:OfflineMaterial,7144183,dcterms:issued,83.18,*
nlon:OfflineMaterial,7144183,dc:publisher,83.12,*
nlon:OfflineMaterial,7144183,nlon:localHolding,82.01,*
nlon:OfflineMaterial,7144183,nlon:publicationPlace,81.69,*
nlon:OfflineMaterial,7144183,nlon:kdc,65.91,*
nlon:OfflineMaterial,7144183,nlon:editionOfKDC,64.58,*
nlon:OfflineMaterial,7144183,nlon:ddc,60.17,*
nlon:OfflineMaterial,7144183,nlon:editionOfDDC,59.13,*
nlon:OfflineMaterial,7144183,nlon:kdcn,56.7,*
nlon:OfflineMaterial,7144183,dcterms:description,50.02,*
nlon:OfflineMaterial,7144183,nlon:keyword,48.58,*
nlon:OfflineMaterial,7144183,dcterms:creator,43.95,*
nlon:OfflineMaterial,7144183,dcterms:language,42.46,*
nlon:OfflineMaterial,7144183,bibo:isbn,33.27,*
nlon:OfflineMaterial,7144183,nlon:bibliography,30.34,*
nlon:OfflineMaterial,7144183,nlon:remainderOfTitle,29.82,*
nlon:OfflineMaterial,7144183,nlon:volumeOfNLK,29.75,*
nlon:OfflineMaterial,7144183,nlon:ddcn,28.85,*
nlon:OfflineMaterial,7144183,dcterms:subject,28.22,*
nlon:OfflineMaterial,7144183,nlon:degreeYear,26.16,*
nlon:OfflineMaterial,7144183,bibo:degree,26.07,*
nlon:OfflineMaterial,7144183,nlon:department,25.36,*
nlon:OfflineMaterial,7144183,dcterms:alternative,24.57,*
nlon:OfflineMaterial,7144183,rdfs:seeAlso,18.58,*
nlon:OfflineMaterial,7144183,nlon:titleOfSeries,18.5,*
nlon:OfflineMaterial,7144183,nlon:languageNote,18.4,*
nlon:OfflineMaterial,7144183,dcterms:isPartOf,16.95,*
nlon:OfflineMaterial,7144183,nlon:containedIn,16.8,*
nlon:OfflineMaterial,7144183,owl:sameAs,15.46,*
nlon:OfflineMaterial,7144183,nlon:biographicalNote,14.32,*
nlon:OfflineMaterial,7144183,nlon:volumeOfSeries,13.12,*
nlon:OfflineMaterial,7144183,bibo:abstract,10.14,*
nlon:Book,6845116,nlon:datePublished,100.0,+
nlon:Book,6845116,dcterms:title,100.0,*
nlon:Book,6845116,rdfs:label,100.0,*
nlon:Book,6845116,bibframe:extent,99.99,*
nlon:Book,6845116,nlon:classificationNumberOfNLK,99.98,*
nlon:Book,6845116,nlon:itemNumberOfNLK,99.97,*
nlon:Book,6845116,bibframe:language,99.87,*
nlon:Book,6845116,bibframe:place,99.87,*
nlon:Book,6845116,nlon:issuedYear,99.47,*
nlon:Book,6845116,dc:creator,85.58,*
nlon:Book,6845116,nlon:typeOfData,82.47,*
nlon:Book,6845116,dcterms:issued,82.44,*
nlon:Book,6845116,dc:publisher,82.39,*
nlon:Book,6845116,nlon:localHolding,81.22,*
nlon:Book,6845116,nlon:publicationPlace,80.9,*
nlon:Book,6845116,nlon:kdc,64.46,*
nlon:Book,6845116,nlon:editionOfKDC,63.57,*
nlon:Book,6845116,nlon:ddc,62.75,*
nlon:Book,6845116,nlon:editionOfDDC,61.66,*
nlon:Book,6845116,nlon:kdcn,55.4,*
nlon:Book,6845116,dcterms:description,48.56,*
nlon:Book,6845116,nlon:keyword,48.28,*
nlon:Book,6845116,dcterms:language,43.73,*
nlon:Book,6845116,dcterms:creator,42.92,*
nlon:Book,6845116,bibo:isbn,34.36,*
nlon:Book,6845116,nlon:bibliography,31.65,*
nlon:Book,6845116,nlon:remainderOfTitle,30.4,*
nlon:Book,6845116,nlon:ddcn,30.1,*
nlon:Book,6845116,nlon:volumeOfNLK,29.9,*
nlon:Book,6845116,dcterms:subject,28.19,*
nlon:Book,6845116,nlon:degreeYear,27.3,*
nlon:Book,6845116,bibo:degree,27.21,*
nlon:Book,6845116,nlon:department,26.47,*
nlon:Book,6845116,dcterms:alternative,23.68,*
nlon:Book,6845116,rdfs:seeAlso,19.22,*
nlon:Book,6845116,nlon:titleOfSeries,18.94,*
nlon:Book,6845116,nlon:languageNote,18.58,*
nlon:Book,6845116,dcterms:isPartOf,17.69,*
nlon:Book,6845116,nlon:containedIn,17.53,*
nlon:Book,6845116,owl:sameAs,16.11,*
nlon:Book,6845116,nlon:biographicalNote,14.95,*
nlon:Book,6845116,nlon:volumeOfSeries,13.56,*
nlon:Book,6845116,bibo:abstract,10.58,*
bibo:Book,3588544,bibframe:extent,100.0,*
bibo:Book,3588544,nlon:classificationNumberOfNLK,100.0,*
bibo:Book,3588544,nlon:datePublished,100.0,+
bibo:Book,3588544,nlon:itemNumberOfNLK,100.0,*
bibo:Book,3588544,nlon:localHolding,100.0,*
bibo:Book,3588544,nlon:typeOfData,100.0,?
bibo:Book,3588544,dcterms:title,100.0,*
bibo:Book,3588544,rdfs:label,100.0,1
bibo:Book,3588544,dcterms:issued,99.96,*
bibo:Book,3588544,bibframe:language,99.94,?
bibo:Book,3588544,bibframe:place,99.94,?
bibo:Book,3588544,nlon:issuedYear,99.88,?
bibo:Book,3588544,dc:publisher,99.87,*
bibo:Book,3588544,nlon:publicationPlace,97.02,*
bibo:Book,3588544,dc:creator,75.73,*
bibo:Book,3588544,nlon:kdc,70.79,*
bibo:Book,3588544,nlon:editionOfKDC,69.68,*
bibo:Book,3588544,nlon:ddc,68.3,*
bibo:Book,3588544,nlon:editionOfDDC,66.58,*
bibo:Book,3588544,bibo:isbn,65.51,*
bibo:Book,3588544,nlon:kdcn,62.6,*
bibo:Book,3588544,dcterms:creator,56.33,*
bibo:Book,3588544,dcterms:subject,52.06,*
bibo:Book,3588544,dcterms:description,42.41,*
bibo:Book,3588544,nlon:remainderOfTitle,41.52,*
bibo:Book,3588544,dcterms:alternative,38.39,*
bibo:Book,3588544,rdfs:seeAlso,36.67,*
bibo:Book,3588544,nlon:titleOfSeries,36.08,*
bibo:Book,3588544,nlon:ddcn,31.76,*
bibo:Book,3588544,nlon:keyword,31.14,*
bibo:Book,3588544,nlon:bibliography,29.48,*
bibo:Book,3588544,nlon:volumeOfSeries,25.86,*
bibo:Book,3588544,nlon:volumeOfNLK,20.99,*
bibo:Book,3588544,dcterms:language,17.22,*
bibo:Book,3588544,owl:sameAs,14.88,*
bibo:Book,3588544,nlon:uniformTitleOfSeries,14.22,*
bibo:Book,3588544,nlon:languageNote,11.29,*
bibo:Book,3588544,bibo:volume,10.27,*
nlon:ElectronicBook,2895364,nlon:datePublished,100.0,1
nlon:ElectronicBook,2895364,rdfs:label,99.99,?
nlon:ElectronicBook,2895364,nlon:genre,99.94,?
nlon:ElectronicBook,2895364,dc:publisher,99.2,*
nlon:ElectronicBook,2895364,bibframe:extent,98.93,*
nlon:ElectronicBook,2895364,dcterms:accessRights,98.59,*
nlon:ElectronicBook,2895364,nlon:publicationPlace,98.28,*
nlon:ElectronicBook,2895364,dcterms:title,97.25,*
nlon:ElectronicBook,2895364,nlon:typeOfResource,97.22,?
nlon:ElectronicBook,2895364,nlon:audienceNote,94.36,*
nlon:ElectronicBook,2895364,nlon:antecedentSource,78.19,?
nlon:ElectronicBook,2895364,nlon:medium,78.07,*
nlon:ElectronicBook,2895364,dc:format,78.06,*
nlon:ElectronicBook,2895364,dcterms:issued,77.77,*
nlon:ElectronicBook,2895364,dc:creator,63.81,*
nlon:ElectronicBook,2895364,nlon:kdc,62.19,*
nlon:ElectronicBook,2895364,nlon:kdcn,61.38,*
nlon:ElectronicBook,2895364,dcterms:creator,57.94,*
nlon:ElectronicBook,2895364,nlon:holdingInstitution,54.36,?
nlon:ElectronicBook,2895364,nlon:uci,53.91,*
nlon:ElectronicBook,2895364,dcterms:subject,48.8,*
nlon:ElectronicBook,2895364,nlon:restriction,47.85,*
nlon:ElectronicBook,2895364,dcterms:hasFormat,47.27,*
nlon:ElectronicBook,2895364,dcterms:description,43.1,*
nlon:ElectronicBook,2895364,dcterms:identifier,38.65,*
nlon:ElectronicBook,2895364,nlon:keyword,36.0,*
nlon:ElectronicBook,2895364,dcterms:alternative,31.17,*
nlon:ElectronicBook,2895364,nlon:remainderOfTitle,31.01,*
nlon:ElectronicBook,2895364,bibo:isbn,30.25,*
nlon:ElectronicBook,2895364,nlon:bibliography,21.59,*
nlon:ElectronicBook,2895364,nlon:titleOfSeries,21.44,*
nlon:ElectronicBook,2895364,nlon:uniformTitleOfSeries,21.44,*
nlon:ElectronicBook,2895364,nlon:ddc,21.05,*
nlon:ElectronicBook,2895364,nlon:ddcn,20.9,*
nlon:ElectronicBook,2895364,nlon:languageNote,16.76,*
nlon:ElectronicBook,2895364,bibo:volume,15.38,*
nlon:ElectronicBook,2895364,dcterms:tableOfContents,12.83,*
nlon:ElectronicBook,2895364,nlon:reproductionNote,11.94,*
nlon:ElectronicBook,2895364,bibo:degree,10.23,?
bibo:Thesis,1869680,bibframe:extent,100.0,*
bibo:Thesis,1869680,nlon:classificationNumberOfNLK,100.0,+
bibo:Thesis,1869680,nlon:datePublished,100.0,+
bibo:Thesis,1869680,nlon:itemNumberOfNLK,100.0,+
bibo:Thesis,1869680,nlon:localHolding,100.0,*
bibo:Thesis,1869680,nlon:typeOfData,100.0,1
bibo:Thesis,1869680,dcterms:title,100.0,+
bibo:Thesis,1869680,rdfs:label,100.0,1
bibo:Thesis,1869680,nlon:issuedYear,99.99,*
bibo:Thesis,1869680,dc:publisher,99.99,*
bibo:Thesis,1869680,dcterms:issued,99.99,*
bibo:Thesis,1869680,bibframe:language,99.98,*
bibo:Thesis,1869680,bibframe:place,99.98,*
bibo:Thesis,1869680,nlon:publicationPlace,99.98,*
bibo:Thesis,1869680,dc:creator,99.98,*
bibo:Thesis,1869680,nlon:degreeYear,99.9,*
bibo:Thesis,1869680,bibo:degree,99.57,*
bibo:Thesis,1869680,nlon:ddc,98.07,*
bibo:Thesis,1869680,nlon:editionOfDDC,97.51,*
bibo:Thesis,1869680,nlon:department,96.89,*
bibo:Thesis,1869680,nlon:kdc,96.42,*
bibo:Thesis,1869680,nlon:editionOfKDC,96.32,*
bibo:Thesis,1869680,dcterms:language,90.04,*
bibo:Thesis,1869680,nlon:kdcn,80.07,*
bibo:Thesis,1869680,nlon:bibliography,59.27,*
bibo:Thesis,1869680,nlon:ddcn,49.12,*
bibo:Thesis,1869680,nlon:keyword,46.13,*
bibo:Thesis,1869680,dcterms:description,45.98,*
bibo:Thesis,1869680,nlon:languageNote,44.8,*
bibo:Thesis,1869680,owl:sameAs,29.51,*
bibo:Thesis,1869680,dcterms:creator,29.3,*
bibo:Thesis,1869680,nlon:remainderOfTitle,20.57,*
bibo:Thesis,1869680,dcterms:identifier,18.71,*
